spc.508,spc.730,spc.736,spc.808,spc.862,spc.940,spc.1198,spc.1450,spc.1552,spc.1648
30933786,17273296,17172948,17104902,17640688,17369459,15370690,15747635,15636958,15675761
29501381,16355965,16225002,15494684,15428940,14793356,12865722,12611232,12326116,12102112
29584625,17274446,17158334,16485298,16427434,15838907,14125512,13939565,13684701,13477244
33179557,20324201,20192014,19421867,19324981,18533921,16305140,16031001,15684382,15423718
30518501,17540853,17397006,16689494,16655777,15982531,14107495,13909005,13631621,13380693
28800121,16320759,16178555,15304278,15146911,14426188,12261018,11800450,11473987,11226451
31389055,18306784,18167624,17324493,17113289,16277605,14055677,13649595,13329836,13071079
28867662,15675548,15541678,14774182,14674407,13957649,11768657,11378948,11072041,10836729
29104143,16698087,16580162,15932073,15832269,15129057,13242802,12886692,12622406,12397446
28448637,15281704,15156404,14423933,14304998,13591302,11557245,11193587,10901562,10663425
27730746,16252000,16125474,15328590,15183922,14560954,12577437,12211437,11880072,11660173
31971338,17912278,17778742,17134523,17111634,16348202,14246076,14025159,13655658,13351850
31725995,18449438,18321070,17593202,17465975,16672368,14626601,14213737,13855156,13541902
28808066,15570888,15456505,14909050,14957030,14365223,12728538,12691736,12471333,12281064
29895310,16941629,16826462,16243592,16189428,15483141,13489474,13240067,12878356,12607733
29763590,17252624,17119324,16378739,16310113,15667166,13693887,13523350,13143854,12891480
29905861,16401153,16279113,15622079,15563830,14888531,13093870,12872831,12599833,12356493
30436058,17339579,17212688,16448234,16296117,15490784,13469353,13180040,12875863,12635869
30267921,17252635,17132989,16545334,16568187,15945755,14268663,14059166,13767500,13546592
30734935,17422711,17299064,16617737,16551581,15845493,13891316,13539388,13213296,12959563
30446334,17756001,17637732,17064257,17148428,16668231,14916136,14852956,14493178,14252460
28321570,17142565,17020490,16354272,16337942,15897053,14324347,14217848,13847764,13651139
30611698,16718410,16578584,15880139,15910339,15200834,13010806,12831614,12440001,12171114
29238430,16626895,16497149,15776747,15691178,14978413,12922570,12594995,12281769,12019508
30728590,16983520,16851167,16280510,16331908,15657529,13661413,13370415,13106156,12855869
31741932,19119404,18978895,18203410,18087471,17221480,14742849,14204601,13794537,13464250
32062548,17571857,17430840,16785913,16799282,15993092,13857934,13677066,13324560,13078788
31317069,17357022,17217948,16577350,16597117,15824252,13707710,13563985,13211819,12927846
30823131,16883800,16761474,16273646,16370621,15702148,13827017,13662231,13379250,13142155
28920074,16415886,16288921,15603947,15521106,14934391,13074827,12767750,12397802,12129838
32315619,18447198,18306346,17685827,17710199,17022256,14925087,14789630,14411008,14143343
32492993,17739463,17647187,17577617,18020458,17755452,15860376,16464692,16336143,16404379
30100195,17005532,16884620,16252269,16197421,15480379,13570017,13336131,12987745,12752003
30829630,17592135,17471329,16823089,16741771,15971002,14006447,13673876,13324556,13020239
30764132,16822750,16711456,16288588,16407557,15765751,14036924,13978661,13728850,13506562
29620122,15774371,15656716,15139299,15192182,14518261,12662715,12635421,12321948,12125109
32227802,18079946,17953459,17368650,17389833,16648823,14601002,14455198,14113558,13848876
28370885,15919361,15799438,15146401,15123749,14582612,12813007,12636178,12283904,12058356
30714581,16713731,16591545,16001609,16046294,15350935,13064060,12841909,12453426,12202677
30764281,16061880,15933302,15294039,15302742,14509542,12179435,11955509,11623451,11372563
30221304,15730141,15608003,15078516,15226492,14563207,12333414,12229802,11953526,11714271
31058806,17010444,16879761,16255325,16322353,15647765,13598569,13445299,13148952,12909709
31477313,17166113,17043590,16480139,16530675,15809952,13770752,13612712,13303052,13029884
29696388,15575026,15443832,14846289,14931155,14263885,12188945,12141227,11777168,11525395
31843261,17074141,16959362,16562135,16669171,15937117,14065594,13949973,13694562,13484066
32959939,18684249,18577441,18278001,18516802,17924853,16119081,16334896,16206540,16152289
30318065,17454793,17338449,16724330,16777133,16098443,13612718,13205137,12875798,12589683
31137341,17200181,17071503,16373717,16333263,15537640,13155388,12802407,12461894,12189766
31241876,16629793,16508141,16048820,16138944,15491879,13780495,13747374,13525909,13354129
30847923,18864373,18729355,18026707,18000539,17506896,15729067,15637946,15201761,14916263
34652679,21248558,21156199,21045268,21432488,21315931,20296907,20936279,20914798,20931101
30019722,17653927,17520287,16807755,16708953,16062823,14000192,13694747,13272802,13015813
33002580,19415804,19287981,18685386,18721319,18008745,15877803,15744706,15354040,15065814
32932652,19549112,19418362,18722632,18713362,17994662,15942587,15700612,15343409,15044514
29728905,15643486,15521398,14931509,14927105,14273991,12588880,12394365,12095137,11908200
29392492,16897100,16774147,16118069,16104347,15546516,13940789,13766960,13473321,13250421
29668206,16217192,16099652,15564476,15652815,15076315,13122647,12894938,12629313,12392759
30885214,17105566,17004514,16698351,16947634,16581027,15329946,15457756,15372557,15266280
30499880,17614498,17492562,16947211,17005724,16374907,14625648,14362028,14090300,13808517
33713961,19767043,19663842,19376919,19606391,19093248,17601252,18002786,17873758,17807451
32682350,19497759,19396140,19297226,19806813,19476466,17513436,18132217,18067046,18110383
33927930,20436200,20327993,19962316,20218176,19669023,17879564,18007877,17956789,17875136
33726017,19577587,19473426,19199878,19464716,18898534,17259691,17488224,17451704,17425778
