spc.508,spc.730,spc.736,spc.808,spc.862,spc.940,spc.1198,spc.1450,spc.1552,spc.1648
27703751,15467768,15342649,14537235,14374766,13753038,12001187,11651567,11411425,11201150
31638435,18584295,18443266,17621168,17503690,16738162,14642831,14316336,13958280,13698244
28707873,14794326,14655229,13936333,13900436,13237660,11355913,11143539,10900832,10692012
28498244,16176289,16049351,15302475,15182624,14540127,12594119,12188185,11919529,11694120
33953478,20094562,19986053,19793279,20262567,19913672,17933317,18361363,18239316,18247858
31367061,17869832,17737803,17033949,16997475,16267060,14206505,14049667,13716267,13486439
30705257,16753978,16620885,15927434,15914931,15204592,13217052,13149037,12846642,12611838
29861631,16134559,16009077,15341722,15304458,14607843,12659730,12427986,12134497,11882972
31517900,19073242,18942546,18091671,17916113,17125994,14956328,14506711,14154818,13897755
30118446,17296134,17164031,16353257,16201654,15422692,13206352,12907189,12565374,12299501
30846439,17672383,17540959,16831465,16712342,15892688,13747458,13365379,13038790,12762288
29150014,16918317,16796475,16078339,15942123,15212654,13359255,13027791,12754801,12532204
28978284,14938709,14808940,14095518,14009194,13260839,11213059,10891065,10595252,10399277
28036695,14803942,14672134,13850709,13664360,12917201,10892768,10570897,10296977,10084512
30080107,17800409,17668918,16850941,16638489,15830369,13644107,13216444,12856303,12599944
29475307,16798743,16670355,15967455,15893684,15159090,12953056,12557576,12203707,11960841
29533608,16396050,16270902,15576766,15468262,14712650,12685895,12293667,11970713,11724603
30937795,18341935,18202655,17440608,17370640,16673113,14615229,14362156,13990681,13674717
31451593,16674459,16542029,16039727,16173666,15532666,13650135,13600621,13295900,13062583
32433342,19399412,19266436,18513606,18376826,17563847,15295512,14839623,14446318,14183152
32029071,18740820,18607329,17891640,17811841,17017824,14766257,14404811,14060413,13764661
30925606,18268058,18122823,17295959,17219450,16504087,14203599,13910583,13504685,13241601
30208804,18500294,18365472,17601331,17515857,16913582,15180309,14956982,14688145,14501599
30497771,17126826,16993132,16338127,16309560,15607252,13584193,13399655,13057187,12787522
30409208,17158126,17025567,16292859,16206827,15529198,13657709,13518217,13175243,12925510
28304269,16977297,16857642,16070427,15964402,15565441,14226416,14185726,13889316,13697617
